01 Jan,Gen 1,0,Mt 1,0,Ez 1,0,Ac 1,0
02 Jan,Gen 2,0,Mt 2,0,Ez 2,0,Ac 2,0
03 Jan,Gen 3,0,Mt 3,0,Ez 3,0,Ac 3,0
04 Jan,Gen 4,0,Mt 4,0,Ez 4,0,Ac 4,0
05 Jan,Gen 5,0,Mt 5,0,Ez 5,0,Ac 5,0
06 Jan,Gen 6,0,Mt 6,0,Ez 6,0,Ac 6,0
07 Jan,Gen 7,0,Mt 7,0,Ez 7,0,Ac 7,0
08 Jan,Gen 8,0,Mt 8,0,Ez 8,0,Ac 8,0
09 Jan,Gen 9-10,0,Mt 9,0,Ez 9,0,Ac 9,0
10 Jan,Gen 11,0,Mt 10,0,Ez 10,0,Ac 10,0
11 Jan,Gen 12,0,Mt 11,0,Neh 1,0,Ac 11,0
12 Jan,Gen 13,0,Mt 12,0,Neh 2,0,Ac 12,0
13 Jan,Gen 14,0,Mt 13,0,Neh 3,0,Ac 13,0
14 Jan,Gen 15,0,Mt 14,0,Neh 4,0,Ac 14,0
15 Jan,Gen 16,0,Mt 15,0,Neh 5,0,Ac 15,0
16 Jan,Gen 17,0,Mt 16,0,Neh 6,0,Ac 16,0
17 Jan,Gen 18,0,Mt 17,0,Neh 7,0,Ac 17,0
18 Jan,Gen 19,0,Mt 18,0,Neh 8,0,Ac 18,0
19 Jan,Gen 20,0,Mt 19,0,Neh 9,0,Ac 19,0
20 Jan,Gen 21,0,Mt 20,0,Neh 10,0,Ac 20,0
21 Jan,Gen 22,0,Mt 21,0,Neh 11,0,Ac 21,0
22 Jan,Gen 23,0,Mt 22,0,Neh 12,0,Ac 22,0
23 Jan,Gen 24,0,Mt 23,0,Neh 13,0,Ac 23,0
24 Jan,Gen 25,0,Mt 24,0,Es 1,0,Ac 24,0
25 Jan,Gen 26,0,Mt 25,0,Es 2,0,Ac 25,0
26 Jan,Gen 27,0,Mt 26,0,Es 3,0,Ac 26,0
27 Jan,Gen 28,0,Mt 27,0,Es 4,0,Ac 27,0
28 Jan,Gen 29,0,Mt 28,0,Es 5,0,Ac 28,0
29 Jan,Gen 30,0,Mk 1,0,Es 6,0,Rm 1,0
30 Jan,Gen 31,0,Mk 2,0,Es 7,0,Rm 2,0
31 Jan,Gen 32,0,Mk 3,0,Es 8,0,Rm 3,0
01 Feb,Gen 33,0,Mk 4,0,Es 9-10,0,Rm 4,0
02 Feb,Gen 34,0,Mk 5,0,Job 1,0,Rm 5,0
03 Feb,Gen 35-36,0,Mk 6,0,Job 2,0,Rm 6,0
04 Feb,Gen 37,0,Mk 7,0,Job 3,0,Rm 7,0
05 Feb,Gen 38,0,Mk 8,0,Job 4,0,Rm 8,0
06 Feb,Gen 39,0,Mk 9,0,Job 5,0,Rm 9,0
07 Feb,Gen 40,0,Mk 10,0,Job 6,0,Rm 10,0
08 Feb,Gen 41,0,Mk 11,0,Job 7,0,Rm 11,0
09 Feb,Gen 42,0,Mk 12,0,Job 8,0,Rm 12,0
10 Feb,Gen 43,0,Mk 13,0,Job 9,0,Rm 13,0
11 Feb,Gen 44,0,Mk 14,0,Job 10,0,Rm 14,0
12 Feb,Gen 45,0,Mk 15,0,Job 11,0,Rm 15,0
13 Feb,Gen 46,0,Mk 16,0,Job 12,0,Rm 16,0
14 Feb,Gen 47,0,Lk 1:1-38,0,Job 13,0,1 Co 1,0
15 Feb,Gen 48,0,Lk 1:39-80,0,Job 14,0,1 Co 2,0
16 Feb,Gen 49,0,Lk 2,0,Job 15,0,1 Co 3,0
17 Feb,Gen 50,0,Lk 3,0,Job 16-17,0,1 Co 4,0
18 Feb,Ex 1,0,Lk 4,0,Job 18,0,1 Co 5,0
