01 Jan,REFLECTION | MAKE-UP,,,,,
02 Jan,JER 34-35,0,PS 19:1-6,0,JN 1-3,0
03 Jan,JER 36,0,PS 19:7-14,0,JN 1-3,0
04 Jan,JER 37-38,0,PS 20,0,JN 1-3,0
05 Jan,JER 39-40,0,PS 21:1-7,0,JN 4-5,0
06 Jan,JER 41-42,0,PS 21:8-13,0,JN 4-5,0
07 Jan,JER 43-44,0,PS 22:1-5,0,JN 4-5,0
08 Jan,REFLECTION | MAKE-UP,,,,,
09 Jan,JER 45-47,0,PS 22:6-18,0,JN 6-8,0
10 Jan,JER 48,0,PS 22:19-24,0,JN 6-8,0
11 Jan,JER 49:1-22,0,PS 22:25-31,0,JN 6-8,0
12 Jan,JER 49:23-39,0,PS 23,0,JN 9-10,0
13 Jan,JER 50,0,PS 24:1-6,0,JN 9-10,0
14 Jan,JER 51,0,PS 24:7-10,0,JN 9-10,0
15 Jan,REFLECTION | MAKE-UP,,,,,
16 Jan,JER 52,0,PS 25:1-7,0,JN 11-12,0
17 Jan,GEN 1,0,PS 25:8-15,0,JN 11-12,0
18 Jan,GEN 2-3,0,PS 25:16-22,0,JN 11-12,0
19 Jan,GEN 4,0,PS 26:1-7,0,JN 13-15,0
20 Jan,GEN 5:1-6:8,0,PS 26:8-12,0,JN 13-15,0
21 Jan,GEN 6:9-7:24,0,PS 27:1-6,0,JN 13-15,0
22 Jan,REFLECTION | MAKE-UP,,,,,
23 Jan,GEN 8:1-9:17,0,PS 27:7-14,0,JN 16-17,0
24 Jan,GEN 9:18-10:32,0,PS 28,0,JN 16-17,0
25 Jan,GEN 11,0,PS 29:1-4,0,JN 16-17,0
26 Jan,GEN 12-13,0,PS 29:5-11,0,JN 18-19,0
27 Jan,GEN 14-15,0,PS 30,0,JN 18-19,0
28 Jan,GEN 16:1-17:14,0,PS 31:1-8,0,JN 18-19,0
29 Jan,REFLECTION | MAKE-UP,,,,,
30 Jan,GEN 17:15-18:33,0,PS 31:9-18,0,JN 20-21,0
31 Jan,GEN 19,0,PS 31:19-24,0,JN 20-21,0
01 Feb,GEN 20:1-21:21,0,PS 32,0,JN 20-21,0
02 Feb,GEN 21:22-22:24,0,PS 33:1-9,0,"JUDE 1 JN 1-2",0
03 Feb,GEN 23,0,PS 33:10-17,0,"JUDE 1 JN 1-2",0
04 Feb,GEN 24,0,PS 33:18-22,0,"JUDE 1 JN 1-2",0
05 Feb,REFLECTION | MAKE-UP,,,,,
06 Feb,GEN 25,0,PS 34:1-7,0,JN 3-5,0
07 Feb,GEN 26,0,PS 34:8-14,0,JN 3-5,0
08 Feb,GEN 27,0,PS 34:15-22,0,JN 3-5,0
09 Feb,GEN 28,0,PS 35:1-10,0,HEB 1-3,0
10 Feb,GEN 29,0,PS 35:11-18,0,HEB 1-3,0
11 Feb,GEN 30,0,PS 35:19-28,0,HEB 1-3,0
